,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
117,57.0,Right_Hand,,India,7-Oct-77,,,12,B Akhil,76.0,133.33,0
118,22.0,Right_Hand,,India,22-Apr-80,,,72,MA Khote,24.0,109.09,0
119,102.0,Right_Hand,,Australia,8-Nov-76,,,66,B Lee,124.0,121.57,0
120,30.0,Right_Hand,,India,23-Oct-83,,,119,Joginder Sharma,36.0,120.0,0
121,18.0,Right_Hand,,India,3-Sep-86,,,115,RR Raje,20.0,111.11,0
122,49.0,Right_Hand,,Pakistan,1-Feb-82,,,86,Shoaib Malik,52.0,106.12,0
123,183.0,Right_Hand,,India,5-Nov-84,,,114,YV Takawale,192.0,104.92,0
124,314.0,Right_Hand,,India,2-Oct-86,,,14,P Kumar,332.0,105.73,0
125,116.0,Right_Hand,,South Africa,16-Jul-73,,,49,SM Pollock,147.0,126.72,0
126,2996.0,Right_Hand,,India,30-Apr-87,,,57,RG Sharma,3874.0,129.31,1
127,3028.0,Left_Hand,,India,14-Oct-81,,,40,G Gambhir,3634.0,120.01,1
128,3236.0,Right_Hand,,India,5-Nov-88,,,8,V Kohli,4105.0,126.85,1
129,2622.0,Left_Hand,,India,5-Dec-85,,,42,S Dhawan,3082.0,117.54,1
130,2360.0,Left_Hand,,West Indies,21-Sep-79,,,162,CH Gayle,3447.0,146.06,1
131,2440.0,Left_Hand,,Australia,27-Oct-86,,,187,DA Warner,3373.0,138.24,1
132,2419.0,Right_Hand,,India,7-Jul-81,,,20,MS Dhoni,3270.0,135.18,1
133,2231.0,Right_Hand,,South Africa,17-Feb-84,,,110,AB de Villiers,3270.0,146.57,1
134,2721.0,Right_Hand,,India,11-Nov-85,,,46,RV Uthappa,3390.0,124.59,1
135,3059.0,Left_Hand,,India,27-Nov-86,,,21,SK Raina,4106.0,134.23,1
136,847.0,Right_Hand,,New Zealand,8-Mar-84,,,52,LRPL Taylor,1017.0,120.07,2
137,1101.0,Right_Hand,,Australia,15-Jul-77,,,4,DJ Hussey,1322.0,120.07,2
138,774.0,Right_Hand,,Australia,18-Aug-83,,,10,CL White,971.0,125.45,2
139,1032.0,Right_Hand,,West Indies,7-Oct-83,,,71,DJ Bravo,1262.0,122.29,2
140,839.0,Left_Hand,,Australia,29-Oct-71,,,18,ML Hayden,1107.0,131.94,2
141,1036.0,Right_Hand,,South Africa,13-Jul-84,,,303,F du Plessis,1287.0,124.23,2
142,1025.0,Right_Hand,,India,24-Oct-84,,,62,WP Saha,1323.0,129.07,2
143,1245.0,Right_Hand,,India,30-Aug-80,,,23,S Badrinath,1441.0,115.74,2
144,1424.0,Left_Hand,,Sri Lanka,27-Oct-77,,,26,KC Sangakkara,1687.0,118.47,2
145,762.0,Right_Hand,,West Indies,25-Jan-85,,,383,LMP Simmons,942.0,123.62,2
146,982.0,Left_Hand,,India,27-Oct-84,,,29,IK Pathan,1148.0,116.9,2
147,1340.0,Left_Hand,,India,6-Dec-88,,,35,RA Jadeja,1574.0,117.46,2
148,781.0,Right_Hand,,Australia,9-Jun-75,,,56,A Symonds,974.0,124.71,2
149,1053.0,Left_Hand,,South Africa,10-Jun-89,,,320,DA Miller,1480.0,140.55,2
150,890.0,Right_Hand,,India,11-Nov-94,,,351,SV Samson,1040.0,116.85,2
151,865.0,Right_Hand,,India,26-Feb-82,,,54,Y Venugopal Rao,985.0,113.87,2
152,933.0,Right_Hand,,India,2-Jun-89,,,306,SPD Smith,1241.0,133.01,2
153,1047.0,Right_Hand,,Sri Lanka,14-Oct-76,,,135,TM Dilshan,1153.0,110.12,2
154,1326.0,Left_Hand,,India,8-Jul-72,,,1,SC Ganguly,1349.0,101.73,2
155,760.0,Right_Hand,,India,18-Dec-91,,,236,Mandeep Singh,924.0,121.58,2
156,1064.0,Left_Hand,,India,30-Dec-89,,,79,SS Tiwary,1218.0,114.47,2
157,1153.0,Right_Hand,,Australia,29-Dec-74,,,104,BJ Hodge,1400.0,121.42,2
158,1286.0,Right_Hand,,India,20-Jul-83,,,183,NV Ojha,1474.0,114.62,2
159,712.0,Left_Hand,,South Africa,10-Jun-81,,,109,JA Morkel,975.0,136.94,2
160,1202.0,Right_Hand,,India,14-Nov-85,,,87,MK Tiwary,1324.0,110.15,2
161,1080.0,Right_Hand,,Australia,17-Nov-86,,,254,AJ Finch,1304.0,120.74,2
162,758.0,Right_Hand,,South Africa,27-Jun-80,,,158,KP Pietersen,1001.0,132.06,2
163,1752.0,Left_Hand,,India,9-Mar-85,,,17,PA Patel,1927.0,109.99,3
164,1715.0,Left_Hand,,Australia,9-Jul-83,,,100,SE Marsh,2225.0,129.74,3
165,1554.0,Left_Hand,,Australia,14-Nov-71,,,53,AC Gilchrist,2065.0,132.88,3
166,1833.0,Right_Hand,,India,20-Oct-78,,,41,V Sehwag,2728.0,148.83,3
167,1648.0,Left_Hand,,Australia,27-May-75,,,19,MEK Hussey,1977.0,119.96,3
168,2092.0,Right_Hand,,India,1-Apr-84,,,185,M Vijay,2511.0,120.03,3
169,1862.0,Left_Hand,,India,12-Dec-81,,,27,Yuvraj Singh,2339.0,125.62,3
170,1869.0,Right_Hand,,Australia,17-Jun-81,,,32,SR Watson,2553.0,136.6,3
171,1380.0,Right_Hand,,West Indies,12-May-87,,,221,KA Pollard,1959.0,141.96,3
172,2092.0,Right_Hand,,India,1-Jun-85,,,88,KD Karthik,2542.0,121.51,3
173,1884.0,Right_Hand,,India,23-Sep-85,,,208,AT Rayudu,2325.0,123.41,3
174,1953.0,Right_Hand,,India,17-Nov-82,,,31,YK Pathan,2779.0,142.29,3
175,2291.0,Right_Hand,,South Africa,16-Oct-75,,,9,JH Kallis,2427.0,105.94,3
176,1634.0,Left_Hand,,South Africa,14-Apr-84,,,154,JP Duminy,1993.0,121.97,3
177,1522.0,Right_Hand,,Sri Lanka,27-May-77,,,64,DPMD Jayawardene,1808.0,118.79,3
178,2043.0,Right_Hand,,India,24-Apr-73,,,133,SR Tendulkar,2329.0,114.0,3
179,1918.0,Right_Hand,,India,11-Jan-73,,,6,R Dravid,2170.0,113.14,3
180,1645.0,Right_Hand,,West Indies,12-Apr-83,,,147,DR Smith,2146.0,130.46,3
181,2274.0,Right_Hand,,India,6-Jun-88,,,85,AM Rahane,2675.0,117.63,3
182,1954.0,Right_Hand,,New Zealand,27-Sep-81,,,2,BB McCullum,2435.0,124.62,3
183,1586.0,Right_Hand,,India,10-Sep-89,,,96,MK Pandey,1827.0,115.2,3
184,587.0,Right_Hand,,India,15-Dec-83,,,178,TL Suman,676.0,115.16,4
185,325.0,Left_Hand,,Sri Lanka,3-Apr-89,,,280,NLTC Perera,423.0,130.15,4
186,314.0,Right_Hand,,Australia,24-Oct-78,,,25,JR Hopes,417.0,132.8,4
187,325.0,Right_Hand,,India,5-Sep-87,,,112,DB Ravi Teja,375.0,115.38,4
188,486.0,Right_Hand,,India,12-Oct-79,,,171,M Manhas,514.0,105.76,4
189,432.0,Right_Hand,,India,7-Dec-83,,,167,PC Valthaty,501.0,115.97,4
190,564.0,Right_Hand,,Australia,1-Feb-87,,,163,MC Henriques,692.0,122.7,4
191,468.0,Right_Hand,,England,4-May-85,,,161,RS Bopara,531.0,113.46,4
192,318.0,Right_Hand,,South Africa,3-Dec-76,,,11,MV Boucher,394.0,123.9,4
193,466.0,Left_Hand,,New Zealand,6-Aug-84,,,157,JD Ryder,604.0,129.61,4
194,406.0,Right_Hand,,India,6-Dec-94,,,393,SS Iyer,469.0,115.52,4
195,323.0,Left_Hand,,India,20-Jan-94,,,374,AR Patel,379.0,117.34,4
196,566.0,Left_Hand,,South Africa,17-Dec-92,,,355,Q de Kock,726.0,128.27,4
197,571.0,Right_Hand,,Sri Lanka,2-Jun-87,,,191,AD Mathews,692.0,121.19,4
198,367.0,Left_Hand,,India,29-Oct-90,,,266,AL Menaria,401.0,109.26,4
199,461.0,Left_Hand,,India,24-Dec-88,,,67,PP Chawla,513.0,111.28,4
200,663.0,Right_Hand,,India,16-Feb-91,,,260,MA Agarwal,788.0,118.85,4
201,311.0,Right_Hand,,India,10-Nov-87,,,65,S Sohal,368.0,118.33,4
202,358.0,Right_Hand,,India,6-May-81,,,63,LR Shukla,399.0,111.45,4
203,542.0,Right_Hand,,India,3-Jun-84,,,255,STR Binny,688.0,126.94,4
204,390.0,Right_Hand,,India,14-Sep-90,,,308,SA Yadav,503.0,128.97,4
205,346.0,Right_Hand,,Australia,29-Apr-90,,,310,JP Faulkner,473.0,136.71,4
206,490.0,Right_Hand,,India,26-Mar-85,,,237,KM Jadhav,626.0,127.76,4
207,837.0,Right_Hand,,South Africa,23-Feb-74,,,97,HH Gibbs,886.0,105.85,4
208,311.0,Right_Hand,,Pakistan,28-Feb-75,,,321,Azhar Mahmood,388.0,124.76,4
209,284.0,Left_Hand,,New Zealand,13-Dec-90,,,372,CJ Anderson,379.0,133.45,4
210,352.0,Right_Hand,,India,29-Mar-84,,,101,SA Asnodkar,423.0,120.17,4
211,663.0,Left_Hand,,England,10-Sep-86,,,216,EJG Morgan,789.0,119.0,4
212,588.0,Left_Hand,,India,8-Oct-83,,,48,AM Nayar,672.0,114.29,4
213,737.0,Right_Hand,,India,27-Dec-84,,,214,MS Bisla,798.0,108.28,4
214,700.0,Right_Hand,,India,6-Dec-91,,,339,KK Nair,877.0,125.29,4
215,573.0,Left_Hand,,Sri Lanka,30-Jun-69,,,44,ST Jayasuriya,768.0,134.03,4
216,580.0,Right_Hand,,India,18-Jul-93,,,345,M Vohra,728.0,125.52,4
217,405.0,Right_Hand,,England,22-Oct-78,,,204,OA Shah,506.0,124.94,4
218,592.0,Right_Hand,,India,18-Apr-92,,,354,KL Rahul,725.0,122.47,4
219,400.0,Left_Hand,,Bangladesh,24-Mar-87,,,276,Shakib Al Hasan,499.0,124.75,4
220,552.0,Right_Hand,,Australia,7-Sep-82,,,197,GJ Bailey,663.0,120.11,4
221,364.0,Right_Hand,,South Africa,2-May-82,,,192,J Botha,409.0,112.36,4
222,574.0,Right_Hand,,India,3-Jul-80,,,50,Harbhajan Singh,783.0,136.41,4
223,690.0,Left_Hand,,South Africa,1-Feb-81,,,74,GC Smith,739.0,107.1,4
224,,,Right-arm offbreak,New Zealand,8-Aug-90,7.0,1.0,396,KS Williamson,7.0,,0
225,,,Right-arm offbreak,South Africa,27-Jun-80,7.13,30.0,158,KP Pietersen,214.0,,0
226,,,Right-arm medium,England,4-May-85,8.48,35.5,161,RS Bopara,301.0,,0
227,,,Right-arm medium,India,27-Oct-88,5.14,1.1666666666666667,448,SS Mundhe,6.0,,0
228,,,Slow left-arm orthodox,India,20-Dec-88,7.68,37.0,181,KP Appanna,284.0,,0
229,,,Right-arm fast-medium,Pakistan,17-Aug-90,8.97,17.166666666666668,179,Shoaib Ahmed,154.0,,0
230,,,Right-arm offbreak,Australia,29-Dec-74,7.79,39.666666666666664,104,BJ Hodge,309.0,,0
231,,,Right-arm offbreak,India,24-Apr-73,9.57,6.166666666666667,133,SR Tendulkar,59.0,,0
232,,,Right-arm offbreak,Australia,14-Oct-88,9.78,36.5,305,GJ Maxwell,357.0,,0
233,,,Right-arm medium-fast,India,18-Sep-84,6.75,2.6666666666666665,301,S Rana,18.0,,0
234,,,Right-arm medium,India,17-Sep-87,8.29,36.666666666666664,218,S Tyagi,304.0,,0
235,,,Right-arm medium,England,6-Jan-80,7.0,4.0,180,GR Napier,28.0,,0
236,,,Right-arm fast-medium,Australia,1-Mar-74,6.63,11.166666666666666,184,SM Harwood,74.0,,0
237,,,Legbreak googly,India,3-Mar-87,9.0,5.0,169,AS Raut,45.0,,0
238,,,Right-arm medium,India,25-Aug-84,7.0,1.0,300,Y Gnaneswara Rao,7.0,,0
239,,,Right-arm fast-medium,South Africa,8-Nov-81,7.81,7.166666666666667,189,D du Preez,56.0,,0
240,,,Right-arm medium,India,17-Apr-87,7.26,27.0,446,Anand Rajan,196.0,,0
241,,,Slow left-arm orthodox,India,28-Oct-85,7.6,42.5,297,AA Chavan,323.0,,0
242,,,Right-arm offbreak,India,15-Dec-83,7.82,25.333333333333332,178,TL Suman,198.0,,0
243,,,Right-arm fast,South Africa,13-Oct-90,8.69,19.333333333333332,389,M de Lange,168.0,,0
244,,,Right-arm fast,West Indies,6-Feb-82,6.4,25.0,165,FH Edwards,160.0,,0
245,,,Right-arm offbreak,India,5-Dec-83,6.21,39.0,335,A Chandila,242.0,,0
246,,,Right-arm medium,India,26-Apr-89,8.13,5.166666666666667,142,PM Sarvesh Kumar,42.0,,0
247,,,Right-arm fast-medium,Australia,20-Feb-83,8.57,7.0,318,CJ McKay,60.0,,0
248,,,Right-arm medium,India,3-May-92,8.22,35.166666666666664,326,V Pratap Singh,289.0,,0
249,,,Right-arm fast-medium,South Africa,15-Jul-77,10.33,3.0,438,A Nel,31.0,,0
250,,,Right-arm offbreak,Sri Lanka,11-Mar-85,7.4,41.333333333333336,174,BAW Mendis,306.0,,0
251,,,Left-arm fast-medium,Sri Lanka,1-Mar-81,6.83,24.0,156,T Thushara,164.0,,0
252,,,Right-arm offbreak,West Indies,5-Feb-81,7.28,33.5,307,MN Samuels,244.0,,0
253,,,Right-arm fast-medium,England,6-Dec-77,9.64,11.0,155,A Flintoff,106.0,,0
254,,,Left-arm medium-fast,India,10-Mar-91,8.41,29.5,160,Kamran Khan,248.0,,0
255,,,Right-arm fast-medium,South Africa,1-Aug-74,6.83,6.0,159,T Henderson,41.0,,0
256,,,Right-arm medium,New Zealand,6-Aug-84,7.67,40.166666666666664,157,JD Ryder,308.0,,0
257,,,Right-arm fast-medium,New Zealand,28-Sep-90,7.44,4.166666666666667,312,DAJ Bracewell,31.0,,0
258,,,Right-arm medium,India,20-Oct-81,7.88,26.0,439,AM Salvi,205.0,,0
259,,,Left-arm fast-medium,India,17-Jan-83,8.41,37.0,215,YA Abdulla,311.0,,0
260,,,Right-arm medium,India,9-May-83,7.58,35.333333333333336,243,VS Malik,268.0,,0
261,,,Right-arm medium,Australia,31-Dec-79,8.67,3.0,313,DJ Harris,26.0,,0
262,,,Slow left-arm orthodox,India,29-Sep-89,9.69,2.1666666666666665,445,AA Kazi,21.0,,0
263,,,Left-arm medium,Australia,17-Nov-75,5.14,1.1666666666666667,182,LA Carseldine,6.0,,0
264,,,Left-arm medium,India,30-May-85,8.38,26.5,294,P Parameswaran,222.0,,0
265,,,Right-arm fast-medium,Australia,11-Nov-82,6.67,3.0,265,NJ Rimmington,20.0,,0
266,,,Right-arm offbreak,India,12-Oct-79,6.0,7.0,171,M Manhas,42.0,,0
267,,,Slow left-arm orthodox,Australia,4-Oct-79,8.14,9.333333333333334,230,AC Voges,76.0,,0
268,,,Left-arm medium,New Zealand,7-Nov-80,8.59,25.833333333333332,275,JEC Franklin,222.0,,0
269,,,Right-arm medium-fast,South Africa,24-Jul-85,7.86,39.166666666666664,233,J Theron,308.0,,0
270,,,Right-arm medium,India,16-Oct-85,8.04,16.166666666666668,259,RV Gomez,130.0,,0
271,,,Right-arm fast,West Indies,30-Jun-88,9.23,8.666666666666666,240,KAJ Roach,80.0,,0
272,,,Right-arm medium,India,7-Aug-92,7.64,5.5,465,DL Chahar,42.0,,0
273,,,Right-arm medium,England,26-May-76,6.73,15.0,241,PD Collingwood,101.0,,0
274,,,Left-arm medium-fast,India,9-Oct-88,8.17,18.0,273,SB Wagh,147.0,,0
275,,,Right-arm medium,India,17-Jun-84,9.22,6.833333333333333,261,AUK Pathan,63.0,,0
276,,,Slow left-arm orthodox,India,29-Oct-90,7.65,18.833333333333332,266,AL Menaria,144.0,,0
277,,,Right-arm medium-fast,India,9-Oct-87,9.37,12.166666666666666,245,AP Dole,114.0,,0
278,,,Right-arm offbreak,Sri Lanka,30-Jan-85,7.43,30.0,278,S Randiv,223.0,,0
279,,,Right-arm medium,India,7-Sep-85,10.0,2.0,229,FY Fazal,20.0,,0
280,,,Slow left-arm orthodox,India,6-Oct-78,8.32,9.5,298,ND Doshi,79.0,,0
281,,,Right-arm offbreak,India,12-Apr-88,10.42,3.1666666666666665,444,MB Parmar,33.0,,0
282,,,Right-arm fast,New Zealand,7-Jun-75,7.07,31.833333333333332,220,SE Bond,225.0,,0
283,,,Right-arm medium-fast,Netherlands,30-Jun-80,6.51,13.833333333333334,284,RN ten Doeschate,90.0,,0
284,,,Legbreak,India,10-Jul-86,9.57,23.5,222,S Ladda,225.0,,0
