,Player_Id,Runs,Balls_played,Strike_Rate,cluster,Player_Name,Batting_Hand,DOB,Country
36,199,285.0,271,105.17,0,Y Nagar,Right_Hand,6-Jan-90,India
37,207,321.0,260,123.46,0,AP Tare,Right_Hand,7-Nov-87,India
38,209,270.0,236,114.41,0,R Sathish,Right_Hand,14-Jan-81,India
39,217,26.0,25,104.0,0,JM Kemp,Right_Hand,2-Oct-77,South Africa
40,224,278.0,198,140.4,0,MJ Lumb,Left_Hand,12-Feb-80,England
41,226,37.0,29,127.59,0,S Narwal,Left_Hand,16-Apr-82,India
42,300,19.0,18,105.56,0,Y Gnaneswara Rao,Right_Hand,25-Aug-84,India
43,148,99.0,92,107.61,0,SD Chitnis,Right_Hand,6-May-87,India
44,301,91.0,82,110.98,0,S Rana,Right_Hand,18-Sep-84,India
45,311,47.0,38,123.68,0,HV Patel,Right_Hand,23-Nov-90,India
46,391,38.0,32,118.75,0,JO Holder,Right_Hand,5-Nov-91,West Indies
47,394,295.0,224,131.7,0,DJ Hooda,Right_Hand,19-Apr-95,India
48,397,15.0,13,115.38,0,SA Abbott,Right_Hand,29-Feb-92,New Zealand
49,398,48.0,33,145.45,0,J Suchith,Left_Hand,16-Jan-94,India
50,400,156.0,134,116.42,0,HH Pandya,Right_Hand,11-Oct-93,India
51,401,127.0,94,135.11,0,D Wiese,Right_Hand,18-May-85,South Africa
52,406,7.0,6,116.67,0,SN Thakur,Right_Hand,16-Oct-91,India
53,407,255.0,189,134.92,0,JC Buttler,Right_Hand,8-Sep-90,England
54,390,16.0,13,123.08,0,R Tewatia,Left_Hand,20-May-93,India
55,409,146.0,111,131.53,0,MP Stoinis,Right_Hand,16-Aug-89,Australia
56,412,19.0,13,146.15,0,P Sahu,Right_Hand,21-Aug-85,India
57,415,57.0,55,103.64,0,MJ Guptill,Right_Hand,30-Sep-86,New Zealand
58,417,54.0,42,128.57,0,TM Head,Left_Hand,29-Dec-93,Australia
59,420,198.0,155,127.74,0,RR Pant,Left_Hand,4-Oct-97,India
60,421,88.0,66,133.33,0,SW Billings,Right_Hand,15-Jun-91,England
61,422,13.0,11,118.18,0,KC Cariappa,Right_Hand,13-Apr-94,India
62,426,127.0,105,120.95,0,UT Khawaja,Left_Hand,18-Dec-86,Australia
63,427,157.0,122,128.69,0,HM Amla,Right_Hand,31-Mar-83,South Africa
64,410,42.0,41,102.44,0,Ishan Kishan,Left_Hand,18-Jul-98,India
65,384,29.0,26,111.54,0,VH Zol,Left_Hand,23-Nov-94,India
66,380,53.0,51,103.92,0,RR Rossouw,Left_Hand,9-Oct-89,South Africa
67,379,40.0,36,111.11,0,BR Dunk,Left_Hand,11-Mar-87,Australia
68,312,12.0,9,133.33,0,DAJ Bracewell,Right_Hand,28-Sep-90,New Zealand
69,313,111.0,103,107.77,0,DJ Harris,Right_Hand,31-Dec-79,Australia
70,314,62.0,53,116.98,0,Ankit Sharma,Left_Hand,20-Apr-91,India
71,322,209.0,170,122.94,0,P Negi,Left_Hand,6-Jan-93,India
72,325,280.0,196,142.86,0,A Ashish Reddy,Right_Hand,24-Feb-91,India
73,327,125.0,116,107.76,0,BB Samantray,Right_Hand,14-Dec-88,India
74,328,98.0,96,102.08,0,MJ Clarke,Right_Hand,2-Apr-81,Australia
75,329,342.0,280,122.14,0,Gurkeerat Singh,Right_Hand,29-Jun-90,India
76,330,87.0,77,112.99,0,AP Majumdar,Right_Hand,30-Apr-84,India
77,332,12.0,9,133.33,0,K Upadhyay,Right_Hand,18-Jun-86,India
78,336,89.0,85,104.71,0,CA Lynn,Right_Hand,10-Apr-90,Australia
79,341,14.0,13,107.69,0,MDKJ Perera,Left_Hand,17-Aug-90,Sri Lanka
